"RespondentID","Gender","Age","AgeGroup","EducationLevel","IncomeGroup","Income","CarOwnership","PrimaryMode","TripDistance_km","TripTime_min","TripsPerDay","YearsDriving","ResidentialZone","PS1","PS2","PS3","PS4","PS5","SQ1","SQ2","SQ3","SQ4","EA1","EA2","EA3","EA4","BI1","BI2","BI3","AB1","AB2","AB3"
"BUTS_0058",1,22,1,2,2,26423,0,2,38.3,137,3,1,1,3,3,1,3,2,4,3,3,3,3,3,2,2,2,2,2,2,4,NA
"BUTS_0059",1,31,2,5,2,25402,0,2,6.5,32,3,12,1,3,2,3,3,3,3,3,4,3,3,3,3,1,3,3,1,3,4,3
"BUTS_0060",1,50,4,4,2,29868,0,1,51.7,251,4,30,2,2,3,2,1,2,3,1,2,3,4,3,2,2,1,1,3,4,4,2
"BUTS_0061",1,34,2,4,4,71711,1,2,34.2,139,2,16,2,5,4,3,4,3,3,4,3,3,4,3,2,2,5,4,4,3,4,3
"BUTS_0062",2,37,3,4,2,22832,0,2,10,41,1,18,1,2,3,3,2,1,3,3,2,3,3,3,2,2,3,3,2,4,2,2
"BUTS_0063",1,20,1,4,2,16791,0,2,27.3,76,2,1,1,4,3,3,3,3,1,2,2,1,2,3,3,2,2,4,2,3,3,2
"BUTS_0064",1,37,3,4,3,36832,0,4,18.4,81,2,14,3,2,3,3,2,2,3,4,3,3,3,1,1,1,3,3,3,3,3,2
"BUTS_0065",1,69,5,4,1,10262,0,3,28.2,111,3,49,1,3,3,2,4,2,2,3,3,2,3,3,2,2,4,2,2,2,2,1
"BUTS_0066",2,30,2,3,2,19970,0,2,15.1,52,2,8,3,2,1,2,2,2,2,3,1,1,2,2,2,2,2,2,3,3,2,4
"BUTS_0067",1,49,4,4,2,21955,0,1,53.7,192,3,26,4,1,2,1,1,1,2,1,2,2,2,2,3,1,1,1,1,2,1,2
"BUTS_0068",2,40,3,5,NA,NA,1,1,13.5,64,5,20,3,3,3,2,1,2,3,2,2,2,3,4,4,3,2,2,3,1,2,1
"BUTS_0069",2,18,1,4,1,11068,0,3,12.1,47,2,1,2,4,3,2,2,2,3,3,2,3,1,1,2,2,3,2,1,2,3,2
"BUTS_0070",1,46,4,2,2,16320,0,1,16.3,54,2,27,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1
"BUTS_0071",1,34,2,3,1,8317,0,3,4.8,15,5,15,1,4,2,1,3,3,2,2,2,3,4,3,3,3,4,3,3,3,3,3
"BUTS_0072",2,22,1,4,NA,NA,0,2,18.9,53,2,3,1,2,2,1,3,1,3,3,2,1,3,2,2,3,2,2,2,1,2,NA
"BUTS_0073",1,28,2,3,4,63235,0,1,16.1,77,3,9,3,2,3,2,3,2,2,2,1,2,2,2,2,1,2,3,2,2,2,3
"BUTS_0074",1,36,3,4,2,19510,0,1,6.7,32,2,18,1,2,2,2,3,2,1,3,1,2,1,2,1,2,3,2,2,2,4,3
"BUTS_0075",2,63,5,5,2,15191,0,2,75.8,197,2,44,3,2,2,2,3,3,3,2,2,3,4,3,3,2,3,2,2,2,1,3
"BUTS_0076",1,47,4,2,1,9288,0,1,6.8,30,2,29,1,2,1,1,2,1,4,4,3,2,4,3,4,3,4,3,2,2,3,4
"BUTS_0077",1,24,1,5,4,85853,1,3,9,39,3,2,1,4,3,3,4,2,2,3,3,2,3,3,2,2,4,3,2,3,3,4
"BUTS_0078",2,50,4,3,NA,NA,0,1,10.1,34,5,30,1,3,4,3,3,3,3,3,3,3,3,4,2,3,4,3,4,3,4,3
"BUTS_0079",2,68,5,1,1,8390,0,1,14.7,65,3,45,2,2,2,2,2,2,3,3,3,3,2,1,1,2,3,2,2,1,1,2
"BUTS_0080",1,31,2,5,2,22177,1,2,27.5,99,2,12,2,4,2,2,2,1,2,3,3,4,2,2,2,1,3,2,3,1,1,3
"BUTS_0081",1,19,1,3,3,49424,1,1,4.5,19,2,1,3,1,2,2,2,1,1,2,3,1,1,1,1,1,2,1,2,2,2,2
"BUTS_0082",2,28,2,3,2,25347,0,3,7.4,27,5,9,1,2,3,2,2,3,2,2,2,1,2,2,3,2,3,3,2,3,3,4
"BUTS_0083",2,66,5,5,2,25071,1,2,3.6,16,2,43,1,4,4,2,2,4,4,3,2,2,3,2,2,2,4,3,2,3,2,3
"BUTS_0084",1,32,2,4,4,66883,1,2,14.8,39,2,14,2,1,1,2,1,2,2,2,3,2,1,2,1,1,1,1,1,1,1,1
"BUTS_0085",1,23,1,3,3,31841,1,3,4.3,16,5,1,1,2,3,1,3,3,4,2,2,4,1,1,2,1,4,4,2,3,3,3
"BUTS_0086",2,18,1,4,2,28452,0,2,6.3,23,3,1,2,3,2,4,3,2,3,4,4,3,5,3,3,3,4,3,3,3,3,4
"BUTS_0087",2,60,5,2,3,49389,1,4,56.6,197,2,38,3,3,3,2,3,2,3,2,2,2,2,2,1,1,3,2,4,3,4,2
"BUTS_0088",2,33,2,4,1,10405,0,1,18.9,69,2,13,3,3,3,2,3,2,2,2,1,2,2,2,1,2,4,3,2,2,2,2
"BUTS_0089",1,40,3,5,2,23015,1,1,41.4,169,2,20,4,3,3,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1
"BUTS_0090",1,69,5,4,2,23214,0,3,16.6,46,5,51,2,3,4,1,3,2,3,3,3,3,3,2,3,2,3,3,3,3,2,3
"BUTS_0091",2,44,3,4,4,63910,1,2,9.1,41,2,22,3,2,1,2,4,1,2,3,2,2,2,1,3,1,2,2,3,1,1,1
"BUTS_0092",2,27,2,4,2,27240,0,2,9.1,33,3,7,2,4,1,2,2,1,1,2,2,2,3,4,3,2,3,3,2,2,2,2
"BUTS_0093",2,31,2,2,3,42908,1,1,20.3,98,3,12,1,3,1,1,2,2,3,3,1,2,2,3,2,1,1,2,2,2,3,2
"BUTS_0094",1,44,3,5,2,18658,0,1,7.6,37,5,21,1,3,4,2,3,4,3,3,2,1,2,2,1,1,3,2,2,1,2,2
"BUTS_0095",1,40,3,4,3,48991,0,3,10.4,27,3,17,3,2,2,2,3,3,3,3,3,3,3,4,3,3,4,3,3,1,3,3
"BUTS_0096",2,21,1,3,3,39505,0,1,12,33,2,1,4,1,2,2,1,1,3,4,2,3,3,3,3,2,2,2,2,2,2,2
"BUTS_0097",1,28,2,4,3,49300,1,3,21.9,86,2,6,2,3,1,2,1,1,3,2,2,3,1,2,1,2,3,2,1,1,1,NA
"BUTS_0098",1,45,3,2,1,14086,0,2,3,12,2,26,4,2,2,1,1,2,1,2,2,1,1,3,2,2,2,3,2,2,1,1
"BUTS_0099",1,30,2,4,2,23186,0,3,29.6,101,2,12,2,3,3,3,3,1,2,3,2,2,2,2,2,1,2,3,2,3,3,3
"BUTS_0100",1,26,2,5,2,19671,0,2,1.8,6,5,6,2,2,3,3,3,2,4,3,2,2,3,2,3,3,3,3,2,2,4,3
"BUTS_0101",1,52,4,2,3,32171,0,3,18.5,86,2,29,4,3,3,4,3,3,4,4,3,4,4,4,3,2,4,4,3,4,4,4
"BUTS_0102",1,34,2,2,1,14877,0,1,15.9,67,2,11,2,3,3,2,3,2,4,3,2,2,2,2,2,3,2,2,2,4,3,3
"BUTS_0103",2,34,2,4,1,10104,0,2,12.7,42,4,12,1,3,2,2,2,2,4,3,2,3,3,3,4,1,3,3,2,4,2,3
"BUTS_0104",2,32,2,3,4,116145,1,2,3.2,8,2,9,1,3,3,3,2,2,2,2,2,1,2,2,2,1,3,4,3,3,3,4
"BUTS_0105",1,25,1,4,2,19300,0,1,70.8,261,3,7,4,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2
"BUTS_0106",1,24,1,3,4,89430,1,1,45.4,220,2,6,2,3,2,1,2,2,2,3,3,3,4,3,1,3,3,2,2,2,3,2
"BUTS_0107",1,48,4,2,2,27116,0,1,3.5,14,2,27,2,3,2,3,3,2,1,1,2,1,2,2,1,1,2,1,1,2,1,2
"BUTS_0108",1,32,2,4,2,29022,1,3,16.5,63,2,9,3,4,3,3,4,2,4,4,3,3,2,2,1,1,4,4,4,3,3,4
"BUTS_0109",2,18,1,2,2,26086,0,1,8.8,33,4,1,4,2,2,3,3,2,2,2,2,1,3,3,2,2,2,2,2,1,3,2
"BUTS_0110",2,30,2,5,NA,NA,1,1,6,18,2,11,3,1,3,1,3,2,3,3,3,3,3,3,2,1,3,2,1,2,2,2
"BUTS_0111",1,20,1,4,1,11076,0,4,14.8,65,2,1,3,2,2,1,2,2,1,3,3,2,2,3,4,2,2,3,2,2,3,2
"BUTS_0112",2,35,2,4,3,30469,0,3,16.2,44,1,12,2,3,3,3,3,2,3,5,4,4,3,4,3,4,4,2,3,3,4,2
"BUTS_0113",1,35,2,3,4,69047,1,1,29.3,103,6,13,2,3,2,1,3,2,1,2,3,1,2,3,2,1,4,3,2,2,3,3
"BUTS_0114",1,32,2,3,2,16889,0,1,29.9,115,3,13,3,3,2,1,1,2,3,3,2,2,3,2,2,3,3,5,3,4,3,4
"BUTS_0115",2,28,2,4,2,26138,0,1,5.3,25,3,9,1,2,2,1,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,2
"BUTS_0116",2,31,2,3,3,47631,0,2,39.1,136,3,11,4,3,1,2,2,2,3,3,3,3,2,2,2,2,1,2,2,2,1,1
"BUTS_0117",1,44,3,4,1,8135,1,1,3.4,14,4,26,1,3,3,3,4,2,3,2,3,3,3,3,2,2,3,3,4,3,3,3
"BUTS_0118",1,34,2,2,2,24563,1,1,17.2,74,2,15,4,2,1,3,2,2,4,3,3,4,3,2,2,1,2,3,2,2,1,2
"BUTS_0119",2,39,3,4,1,14196,0,3,14.1,70,5,18,1,3,3,2,3,2,2,3,2,1,2,1,1,1,3,1,3,3,2,2
"BUTS_0120",1,19,1,1,2,26343,0,1,16.8,45,3,1,2,3,4,3,4,2,1,2,2,2,3,3,4,2,5,2,3,3,3,3
"BUTS_0121",1,32,2,2,NA,NA,0,4,9.1,39,3,11,1,3,2,2,3,1,1,2,2,1,2,3,3,2,3,2,2,2,3,3
"BUTS_0122",2,26,2,3,1,10857,0,1,22.1,72,3,6,2,3,2,2,3,2,1,2,1,2,3,2,2,1,1,1,2,1,2,2
"BUTS_0123",2,41,3,3,2,25519,0,3,45.8,216,3,21,1,2,2,2,1,2,3,2,3,1,2,1,1,1,2,2,3,2,1,2
"BUTS_0124",2,38,3,4,3,31627,0,4,98.1,429,2,18,4,3,2,2,3,2,2,2,2,1,3,3,2,2,3,2,3,2,2,2
"BUTS_0125",1,22,1,3,4,146739,1,3,5.9,22,5,3,1,2,2,1,2,1,3,3,3,3,3,2,2,3,2,3,2,1,2,2
"BUTS_0126",1,36,3,4,3,30680,0,2,69,307,5,18,1,2,3,2,2,3,3,3,3,4,3,2,1,1,3,3,4,3,3,2
"BUTS_0127",1,49,4,4,1,12948,0,1,3.5,9,2,27,3,1,1,1,2,1,2,3,1,2,2,2,1,2,3,1,3,2,2,2
"BUTS_0128",1,32,2,3,1,12749,0,2,8.1,39,5,13,2,3,3,2,2,2,2,3,2,1,3,3,3,3,2,2,3,2,2,2
"BUTS_0129",1,35,2,4,3,49901,0,2,8.4,27,1,15,3,2,1,2,3,1,4,3,2,3,4,4,3,4,3,4,2,4,3,4
"BUTS_0130",2,45,3,5,NA,NA,0,1,17,55,2,24,3,4,2,1,3,2,1,2,2,2,3,1,3,2,3,2,3,2,2,1
"BUTS_0131",2,36,3,5,3,42714,1,4,21.7,73,3,17,3,2,1,2,2,2,2,2,2,1,2,1,3,2,2,2,1,3,1,1
"BUTS_0132",2,30,2,4,3,46995,0,3,11.6,33,5,9,1,4,2,1,3,2,2,3,2,3,3,3,2,2,3,3,3,4,2,3
"BUTS_0133",2,45,3,4,NA,NA,0,2,12.1,31,2,23,2,3,1,3,1,2,1,2,2,1,3,2,2,2,2,3,2,2,2,1
"BUTS_0134",1,48,4,1,2,27295,0,3,38.8,144,2,27,1,1,2,2,3,2,2,2,2,1,2,2,2,1,1,2,2,2,1,2
"BUTS_0135",1,54,4,5,3,31626,0,2,12.8,54,4,36,2,4,4,3,3,2,3,3,2,3,3,3,2,4,4,3,3,2,2,3
"BUTS_0136",2,39,3,3,NA,NA,0,2,13.5,49,5,16,3,1,1,2,3,2,2,4,3,2,2,2,2,2,2,4,2,2,2,4
"BUTS_0137",2,25,1,2,3,30886,1,1,13.1,41,2,6,1,2,2,1,2,2,2,3,2,2,4,3,2,2,2,1,3,2,1,3
"BUTS_0138",1,24,1,2,3,33317,0,3,11.6,47,3,5,4,3,3,3,2,2,2,2,2,2,2,2,3,1,1,3,1,3,2,3
"BUTS_0139",2,37,3,5,NA,NA,0,4,4.4,18,3,19,3,2,2,1,2,3,3,4,4,2,4,3,3,3,3,2,3,3,3,3
"BUTS_0140",2,19,1,5,4,133083,1,4,8.5,25,2,1,3,2,3,3,2,2,3,3,3,4,3,3,1,1,3,3,4,3,4,4
"BUTS_0141",1,33,2,4,3,31576,0,2,11.5,40,3,12,1,3,2,3,4,2,3,2,1,3,1,2,1,2,3,4,3,2,2,2
"BUTS_0142",1,29,2,4,3,47161,0,4,24.6,72,2,8,1,2,1,1,2,2,1,2,1,2,3,2,3,2,3,3,3,1,2,2
"BUTS_0143",1,39,3,4,2,21666,0,2,4.3,21,6,19,4,3,1,1,1,3,1,1,2,1,3,3,2,1,2,1,1,2,2,2
"BUTS_0144",2,42,3,2,4,64616,0,3,6.1,21,2,23,4,3,3,2,4,3,3,4,2,4,2,3,3,3,3,4,3,2,3,3
"BUTS_0145",1,60,5,3,3,31213,0,2,4.4,11,3,39,2,3,2,1,2,3,3,4,2,2,3,1,3,4,2,2,1,1,1,1
"BUTS_0146",1,20,1,5,2,28358,0,3,15,72,3,1,2,4,3,2,3,2,3,2,2,1,3,3,2,2,2,2,3,2,4,3
"BUTS_0147",1,40,3,4,4,77152,1,1,6.5,23,3,17,3,4,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3
"BUTS_0148",2,27,2,3,4,70433,1,1,78.8,323,3,4,3,3,2,3,1,3,3,5,4,3,2,1,2,2,4,3,1,3,3,2
"BUTS_0149",1,28,2,4,1,9462,0,1,18.8,83,1,8,1,4,3,3,2,2,2,3,2,3,1,1,2,3,4,2,3,1,1,2
"BUTS_0150",1,20,1,5,2,20806,0,1,50.6,152,2,1,4,3,4,2,4,2,2,2,2,2,2,3,2,1,2,4,3,3,3,3
"BUTS_0151",2,40,3,4,3,32218,0,2,19.4,54,2,21,2,2,2,2,2,2,1,1,1,1,2,2,3,2,3,3,3,2,4,4
"BUTS_0152",2,34,2,3,2,18059,0,2,2.9,13,3,15,1,3,3,2,2,2,3,2,3,3,3,3,3,2,3,4,2,2,4,1
"BUTS_0153",1,21,1,3,2,16590,0,3,35.3,91,2,1,1,4,4,4,4,3,4,4,4,3,4,2,3,2,5,5,3,4,3,3
"BUTS_0154",1,41,3,3,2,20958,0,3,37.9,164,2,22,3,3,3,2,4,2,2,2,2,3,3,3,2,2,3,3,3,2,2,2
"BUTS_0155",1,35,2,4,3,35088,0,1,28.7,135,2,14,1,2,2,1,2,1,3,2,3,2,4,4,3,4,3,3,2,3,3,2
"BUTS_0156",2,43,3,4,2,16739,0,3,13.8,45,6,21,1,1,1,2,1,1,1,2,1,2,1,2,1,1,3,1,1,1,1,1
"BUTS_0157",2,38,3,4,2,19088,1,2,3.9,14,5,16,1,3,2,1,3,2,2,4,2,3,3,3,2,2,4,2,3,1,1,1
"BUTS_0158",2,23,1,4,2,21848,0,2,14.1,50,3,3,1,2,3,2,2,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1
"BUTS_0159",2,40,3,3,2,15890,0,1,4,15,2,20,1,2,2,2,1,3,3,3,3,3,3,3,3,3,4,4,4,2,3,3
"BUTS_0160",1,54,4,2,2,25433,0,1,17.7,82,3,33,1,4,3,2,3,2,2,2,2,3,2,3,3,2,3,3,4,2,1,2
"BUTS_0161",1,21,1,5,2,29578,0,2,47.1,153,2,2,3,4,2,2,4,3,2,3,2,2,4,3,2,3,4,4,3,3,4,2
"BUTS_0162",1,19,1,2,2,22750,0,2,7.7,31,2,1,2,3,3,2,2,1,3,4,3,2,3,4,3,1,4,4,3,3,3,2
"BUTS_0163",2,21,1,2,1,9683,0,1,25.9,115,3,1,1,3,3,2,3,2,2,2,2,3,2,2,2,1,2,2,2,3,3,1
"BUTS_0164",1,33,2,4,2,24089,0,4,30.5,138,3,15,1,4,3,3,4,3,4,4,3,3,2,2,2,3,3,3,2,3,3,1
"BUTS_0165",2,22,1,4,3,30673,0,1,62.2,217,2,1,3,3,3,1,2,2,3,2,2,3,1,1,1,1,2,2,3,1,1,1
"BUTS_0166",2,38,3,5,2,25426,0,2,9.3,42,3,19,3,3,4,1,2,1,1,2,2,2,4,1,2,2,3,2,1,3,3,1
"BUTS_0167",2,25,1,3,3,34910,1,3,31,131,5,5,3,3,3,2,3,2,3,4,4,3,3,2,4,2,4,3,4,3,3,4
"BUTS_0168",1,42,3,4,2,29472,1,2,6.9,19,3,23,3,1,2,1,1,1,3,4,3,3,2,4,2,2,2,3,2,3,2,2
"BUTS_0169",1,24,1,5,1,10350,0,3,6.1,21,3,4,3,4,3,2,5,3,3,3,3,3,3,3,3,2,4,2,3,2,4,2
"BUTS_0170",1,27,2,5,4,100702,0,3,11.6,50,3,4,4,4,4,3,3,4,3,3,2,3,5,3,5,4,4,3,3,3,5,4
"BUTS_0171",2,34,2,3,4,53293,0,4,13.5,46,3,15,1,2,2,3,3,1,3,3,2,2,2,2,2,2,2,2,3,3,2,4
"BUTS_0172",1,22,1,4,2,29792,0,1,18,82,4,2,2,3,4,2,3,2,2,2,2,2,3,1,2,1,2,2,1,1,2,2
"BUTS_0173",1,31,2,4,2,15413,0,3,30.2,127,4,9,1,2,2,2,2,2,2,2,2,2,4,3,3,2,4,3,3,4,4,3
"BUTS_0174",2,42,3,3,2,16045,0,1,12.1,53,1,20,2,3,3,2,3,2,3,1,2,2,4,2,2,2,5,3,4,2,3,5
"BUTS_0175",2,26,2,3,1,14533,0,3,2.1,9,4,8,2,3,2,2,3,2,3,4,4,2,3,3,4,4,3,3,2,3,2,1
"BUTS_0176",1,25,1,2,2,28099,0,1,11.9,42,1,5,1,3,3,2,4,2,3,3,3,2,3,4,3,3,3,4,3,2,3,NA
"BUTS_0177",1,30,2,2,2,24460,0,2,30.3,139,3,11,1,3,2,2,2,2,2,3,3,3,2,3,3,3,4,4,3,3,4,4
"BUTS_0178",2,27,2,4,3,31229,1,4,10.3,30,3,6,2,3,4,2,2,2,3,2,1,1,3,2,3,3,4,3,3,2,1,2
"BUTS_0179",1,43,3,3,2,22692,0,1,12.7,32,6,23,2,4,4,3,4,3,2,4,2,2,2,2,3,3,4,3,3,3,3,NA
